SID,GID,MOT,SCORE,MOT_CAT,SCORE_CAT,PUD,PUD_CAT,FREQ,DUR,TTAll,TTAC,TTAW,TTHard,TTEasy,TTMedium
mis-186009,0,0.73,0.25,1,3,,,,,792.81,361.990,430.82,257.785,195.41,339.62
mis-186134,0,0.48,0.25,0,3,,,,,863.18,320.733,542.45,180.043,211.71,471.43
mis-194901,1,1,0.88,1,1,1,1,16,931.35,1490.31,954.78,535.53,731.58,270.58,488.15
mis-196315,0,0.68,0.63,1,1,,,,,2095.09,1277.954,817.14,974.322,322.56,798.21
mis-203913,1,0.72,0.63,1,1,0.62,1,10,931.35,908.96,564.81,344.15,424.32,121.54,363.11
mis-213153,1,0.33,0.38,0,2,0.39,0,8,226.42,1208.21,461.56,746.65,416.63,269.08,522.50
mis-213415,1,0.68,0.5,1,2,0.62,1,15,395.95,1313.52,596.80,716.72,766.25,149.56,397.71
mis-216025,1,0.86,0.63,1,1,0.55,1,11,616.35,2055.73,1310.98,744.75,1208.59,238.42,608.72
mis-223213,1,0.8,0.63,1,1,0.55,1,11,104.81,837.19,742.35,94.84,427.35,84.30,325.54
mis-235013,1,0.49,0.63,0,1,0.39,0,7,146.92,1603.78,1083.70,520.08,593.91,342.18,667.70
mis-243513,1,0.73,0.63,1,1,0.62,1,10,474.85,1951.46,1162.58,788.88,1160.16,288.57,502.73
mis-257613,0,0.49,0.5,0,2,,,,,1778.56,848.497,930.06,576.66,369.12,832.78
mis-258215,0,0.4,0.25,0,3,,,,,987.51,205.379,782.13,328.047,236.20,423.26
mis-262914,1,0.8,0.75,1,1,0.16,1,14,759.56,1440.37,979.19,461.18,752.83,266.72,420.82
mis-269029,1,0.6,0.75,1,1,0.55,0,7,147.26,1665.66,1293.53,372.13,604.19,503.43,558.04
mis-272515,0,0.41,0.5,0,2,,,,,679.47,367.443,312.03,394.523,158.22,126.72
mis-276915,0,0.33,0.13,0,3,,,,,1221.88,543.436,678.44,557.415,424.29,240.17
mis-279815,0,0.68,0.5,1,2,,,,,981.63,578.012,403.62,329.328,440.52,211.78
mis-283013,0,0.88,0.38,1,2,,,,,929.27,438.866,490.40,473.118,164.56,291.59
mis-285912,0,0.88,0.38,1,2,,,,,1174.66,512.782,661.88,238.889,399.37,536.40
mis-287110,0,0.33,0.38,0,2,,,,,1243.97,671.630,572.34,284.509,238.67,720.79
mis-287514,0,0.68,0.63,1,1,,,,,1620.61,839.443,781.17,783.252,214.33,623.03
mis-296164,0,0.88,0.75,1,1,,,,,1049.82,720.096,329.72,483.523,259.07,307.22
mis-298914,0,0.33,0.13,0,3,,,,,1168.42,414.923,753.50,191.022,706.07,271.33
